POU1HjdXziM,Gurdeep Parhar
gF9PSRLjGGw,Linde Ex
XS85KAYKOT4,Lisa Margonelli
doVRMBPUOhA,Prashant Dhawan
y3ZrjRlIcgI,Amy Adele Hasinoff
13rqtiAPISY,Gabriel Barcia-Colombo
UTwRlz13NYI,Mallika Chopra
yFVXsjVdvmY,Hannah Fry
w9xg5TAhuJc,Jacki Bradshaw
OVSNSeFTaso,C.K. Williams
3PQrElyu9HY,Valerie Weisler
IOzdXNXzDqE,Mark Gee
U7y4GlmwPLQ,Parag Khanna
Y28ARjfk4gg,John Wuorinen
vqqWw3xkMzA,Fiorenzo Omenetto
lGbuCmuTJHg,Amy Dalton
ayhhuxAu6rw,Hannah Fraser
r9LelXa3USI,Sir Ken Robinson
oVE5rRJa0D8,YQP & Roman Lipski
XESFPEFpHt4,Andrew Blum
cC0KxNeLp1E,Chip Kidd
P2AUat93a8Q,Esther Perel
4wOxJOPnSUg,Sheila Rowan
lAzQWtkPzbI,Oded Shoseyov
mSHBma0Ithk,Paul Romer
Erm4vP1vTn8,Hannah BÃ¼rckstÃ¼mmer
kHuLjmM8z3U,Akash Thakkar
TV5JBCBcCO0,Kaki King
6xtmm0MnaS0,Khartoum & Amal Muntaser
63tVsJI31Tk,Jan Bednar
9B0PaSznWJE,Taylor Wilson
ExcDNly1DbI,Dawn Bennett-Alexander
dsCNuBSKBUw,Dr. Robert K. Ross
xS8jLsYoSic,David Souden
CiZMZ7d7O0k,Eman Mohammed
td5Ld3nURAI,Bill Doyle
JSSc7hYKstI,Naomi Klein
KVjkFqS7Y6A,Aris Venetikidis
8jPQjjsBbIc,Daniel Levitin
BDOSUiEh0eY,Michael Rozyne
V2DgJBx3cyA,Julian Ma
2ju61VPdTzw,Salil Dudani
urOCGSMlB9g,Carolyn Jones
uSTmKo75gJI,David Pizarro
utmiqwS2XBQ,Michelle Neujahr
LLmhQmicusM,Vanessa Woods
0x2SkWRB8SA,Benny Lewis
askcLEVCTko,Natalia Ortiz Hazarian
VbF2KPn3TrU,Ellen 't Hoen
LCuAu67OCDk,Eve Ahmad
XiEQmcZi8cM,Suzanne Barakat
08ZWROqoTZo,Stephen Burt
Mh3SwYHdeVs,Fabian Oefner
EpFCykE9Lk0,Yin Myo Su
IsHXnOzhRPg,Alberto Rizzoli & Marita Cheng
kFX2LrNE3VI,Marshall Soulful Jones
MSLHHgSXloM,Kim Zeglinski
dRic5yJC8UY,Salil Dudani
6kuCSIemiCs,April Charlo
8S66QUJk3w4,Katie Cattermole
PENUoKd5Feo,Jen Lewin
lACQknq4sFI,Martin Kunze
dE1DuBesGYM,Jane McGonigal
V6yixyiJcos,Randy Palisoc
JSLQxBbQPTY,Beeban Kidron
zeSVMG4GkeQ,Phuc Tran
atKSMfx4E3I,Zachariah Mampilly
7HD3lrb6VtM,Feisal Abdul Rauf
iOByGJskqks,LZ Granderson
Y5M7e0PWFtk,Kira Cassidy
VLze6W7SvyY,Steven Brumby
vPhM8lxibSU,Jason Clarke
TdBAHexVYzc,Jennifer Doudna
jkEgngW766Y,Sarah FDILI-ALAOUI
acNSymOsL6M,Colin Arthur
MQrhPhan5Gw,OluÌfeÌÌ£mi TaÌiÌwoÌ€
vHhn7z6BA0w,Ben Ambridge
bSiGZPtWXzE,Christopher McDougall
CEN4XNth61o,Clay Shirky
V84bSWIlNA0,Kasiva Mutua
E2qmkUsf6Y4,Hind Bensari
USkXuQHZmWs,Barbara Amaya
3MYEtQ5Zdn8,Julia Galef
641aB1Dv1DY,Ryan Merkley
GP4sBGbeF8w,Philippe Van Parijs
h1Yg1rURKR0,Sebastian Deterding
WiGZGBowXQg,Liz Rosenthal
4AUSqB0RVNY,Kelly Odell
y7l5QHRYSAI,Audrey Choi
M3fGS0tZDB4,Stephen Coleman
ZxVJt6vQWV8,Kelsey Randle
fIXnJycnkaQ,Michal Ansky
SQdPW8JrYzQ,James Veitch
Mb8x6vLcggc,Joel Selanikio
fxbCHn6gE3U,Adam Grant
odIvobLv7C4,Anna Rosling-Ronnlund
YraU52j3y8s,Sheryl Sandberg
BURbLmQL1BE,Matthew Williams
rbnBeSvXGQM,Dr. Christopher Kerr
a3im2S5mQCM,Levi Bettwieser
L7CqpVQDL0E,Nicholas Brown
mozxTk3Brqw,Elliot Higgins
VOXikTyZxPA,Denis Delestrac
sLFqwXqe4Yk,David Sedlak
rmeGVhhbGrM,Mithila Palkar
Qz6V5OA4ymA,Frederic Kaplan
BepU74BYOtg,Alice Phoebe Lou
HQNfpElOiZY,Francis Gianni
tS2aISc3Q8A,Anika Paulson
LGtNFHtM81A,Comicbookgirl19
S2OzLREwHtI,Sandra Tsing Loh
tX6YpAf6Sco,Kerry Coulshed
WxUf326kZ1I,Ryan Martens
UxXOi6Zwm7Q,Simone Denny
RKEvMcte768,Ben Kreimer
3W4pLOTXybI,Gill Hicks
HS8y0WLm78U,Monica Lewinsky
G2Y6Am46eVU,Bruce Feiler
lUHy84tSDrA,Leila Salim
bl8S81JF3b8,Alison Sommer
SJWoKsfsSaA,Kevin Bowcutt
JN3mW2IzCrc,Natalie Baumgartner
Bs86giWcjLA,Hadi Eldebek
R8Uz4snIkJ4,Fran Guijarro
YWBwsS3lkXU,Jessie Pavelka
ELET24AHnEg,Basky Thilaganathan
5b5BDoddOLA,Nicholas Negroponte
VN357QrUdEc,Sarah Shenker
LYCKzpXEW6E,Taiye Selasi
ESPCyHjmRsQ,Jay Loomis & Timothy Vallier
dUdCToPPK5A,Susanna Zaraysky
1XrFiUrXyx8,Tin Hang Liu
Pl8OlkkwRpc,Don Tapscott
IU1i2IlkLbU,Lily Banda
C6mNITMY7e0,Scott Williams
pi9SMFWTzXw,Robert Ferrell
lwVYaY39YbQ,Stephanie Busari
nvSSeGObF4w,Cindy Stumpo
T2jwSUhu7ok,Mindy Romero
ESlb3D7AySM,Drew Curtis
8K9Gg164Bsw,Stella Young
ZuCtZJGcEMU,Greg Stone
uaJSNRAkr5I,Sid Vollebregt
fa7SkR2fz3M,Nitin Sawhney & Nicki Wells
B9dm0PC0Sb8,Shiza Shahid
qVJBlW0j6tw,Whitney Iles
dvuh1Np35Pk,Maria Ludvigsson
utV1sdjr4PY,Guy Hoffman
QSfFattg8N0,Dr. Alan Watkins
g9M3HIjHuq0,eL Seed
eqDgt12m26c,John Searle
0MYq1WJMmts,Oudai Tozan
rgPrf3YyByI,Darnell Washington
uPeIesugF14,Wojciech Gajewski
LSn4OF7G9BM,Jane Epstein
CSSBGTJgBGo,Robert Gupta
x7I5BWWS0c8,Anna Heringer
J6oMG7u9HGE,Bruce Feiler
S2Dj9M71JAc,Alice Goffman
Fv5PEt7NcHA,Scott Ercoliani
WQG8EJTY48M,Anna Reingatch
Mjoxh4c2Dj0,Charles Eisenstein
cI9vSC1eQ18,Andrew Connolly
855Now8h5Rs,Tesia Marshik
d6PS4p3IXLQ,Pea Horsley
5RAJvzV9jSo,Danielle Wood
NgVwPj54TEo,Noam Shomron
WNTk29zXl4A,Noreena Hertz
SztfBVVO9S8,Ariel Nadratowski
CyElHdaqkjo,Julie Lythcott-Haims
Xd6XZF8kZ60,Diana Totten
aqVSMjKliW0,Dr. Joseph Valente
jpeSLKnS4gM,Scott Dinsmore
TdQ1eaZHSJ8,Jessica Shortall
guXxy8LH2QM,Jason Shen
QAd54DkXCr4,Jenni Flinders
jiDQDLnEXdA,Regina Hartley
GROCkg810R0,Emma Teeling
9B5ZS7ELMO8,Richard J. Berry
kyaiTGmwxnU,Chelsea Shields
hZS5swhJHUk,Ananda Shankar Jayant
FwZoYqui2O8,Kristen Stedman
EKSF037iji0,Brad Rosen
w1oKe8OaPbk,Danit Peleg
vo2cse4CoGM,Laura Engelhardt
sgTjCpBOeCU,James Maskell
bXmDaykZobc,John Jantsch
WpldYJ3sSIo,Timothy Prestero
hWnZKAXSv3s,Kim Vesey
fSSNmDcLMKA,Bradley Garrett
dYNc3P4jSt4,Erika Gregory
MkSSu32xfGc,Marian Bantjes
Ydj28CDrHV4,Bart Moeyaert
VnzBGZA2z3w,Tom Dillehay
eosckjQ4mJ0,Marcus Byrne
eJb3Z2RmRMo,Shira Sneg
04SEzifEsGg,Jeremy Gilley
tXlNvlzd9M8,Colin Wright
3LfVxGdczEA,Achilleas Koukkides
ulLFP8axZVQ,Molly Baldwin
mguvTfAw4wk,Grace Kim
bKQA6I4BA7o,Miguel Nicolelis
i6SbQqqRVtM,Do Nhat Nam
YZa4sdIwV04,Yuval Noah Harari
YSmJDnSemqY,Gregor Schmidinger
hyHUVPG33QI,Jocelyne Bloch
xDe346z233Y,Mazen Faraj & Niv Sarig
erBJuxVR7IE,Satchin Panda
2W1jvTEjc1s,Pam Cooley
TjaM0tdxtYA,Ann Makosinski
sCZiXfaa9ro,Danielle McClelland
2SIk5ofBKco,Ellen Davis
87AEeLpodnE,Arthur Brooks
HrG8UZjL5E8,Takahito Iguchi
488ZBeaGo6s,Poet Ali
fa6ERdxyYdo,Pam Sandlian Smith
vC1uxXvPG0Q,Alice Rawsthorn
ISYbScMYiKg,Maartje & Kine
UiDJFGroD3U,Silje Endresen Reme
vIme03wdEFU,Jesse Zhang
3sUWSDHOVn0,Zrinka Bralo
0kPu6eKpja8,Nikki Duong Koenig
ema8O7xqjvk,Barbara Wyckoff
buHSvs7LFzw,Steve Howard
fgfQLTIhi1U,Tony Hawks
gLdBqrTOQxc,Iveta Vaivode
IL2lb9fmIV8,Laura Boushnak
sPQViNNOAkw,Clay Shirky
eaelI0u4Sz0,George Gascon
H50eCfpquBI,Betsy Cairo
b2LbuqoNGGI,Avi Karnani
z5aAJGNSRHs,Jackie Campbell
CdZJ0SMbh10,Francis de los Reyes
BFK9laBVa54,Paul Lee
JTN9Nx8VYtk,Daniel H. Cohen
aYBJayS6mTY,Jazmin Sawyers
iPxg6bRgPhE,Bandi Mbubi
Jm2dWbNsnZI,Cameron Sinclair
FwLeiY5f7sI,Jennice Vilhauer
8Ug1MnU6LKw,Megan Kimble
2R1lZSN4SSo,Laura Robinson
60OVlfAUPJg,Conrad Wolfram
oDdcx5luv5s,Gary Cohen
7SRGn75JcZ8,Michael Botticelli
niASMK9RoAI,Keven Bloomfield
YsASJTeHJ6A,Michael Bierut
aSpHGbL5138,T.J. Cook
NaoSp4NpkGg,Harald Haas
acNGOQO7URc,Luka Marinkovic
KXAnS2epCPA,Ori Shavit
h4GEMYsrJSY,Christen Reighter
Ligs82S0qN8,Zubin Sharma
1BSSXUntiLg,Nalini Nadkarni
tVoE8eSu4bw,Moraa Ongwae
8MpXRkmeDhk,Clayton Halper
m7SuKQGPMSw,Dr Angela Armstrong
KqbRh4NIE54,Matan Field
RjrS5EqZlUs,Mandy Smith
TKOKD69jUA0,Vicki McLeod
mvC3Qafe5Ms,Ayesha Aleem Khan
gv1ApCmctVQ,Sonaar Luthra
3ite2QwSU7g,Louise-AmÃ©lie Cougnon
90mj79GqWhc,Billy Graham
HbQZ7jAvgoI,Jackson Bird
zPHOvuZmCG4,Olivier Schneller
mDSuP2BsVy4,Jonny Geller
RlQ3CSVanaU,Jack Conte
AA1BT0tfihw,Nicole Abaid
iRsCUJxIrVM,Jarreth Merz
F2dFiK3wkRA,Richard Branson
k3zZVQPaKKQ,Philippe Petit
C9kPFCw2u3M,Lillian Bornstein & Tiauna Lewis & Camille Harrah
DwQMDyyS42Q,Marriam Oliver
h4MhbkWJzKk,Ben Goldacre
gC1CVOn8JQk,Ellen Cockerham Riccio
tMSehhs1OSk,John Shammas
lQDxasFKQCA,Charmaine Tham
E22icGCvGXk,Tavi Gevinson
19Hj93IgbeQ,Richard Pyle
oml5JLFKgH8,Swathi Kompella
WjOSVcngDHo,Dylan Brown
ea3HnhOLC9g,Neil Barsky
xgYtUKFzHf8,Ameera Harouda
wfNX1cHkSfE,Laura Berman Fortgang
gWD6g9CVSsc,Sam Richards
JrRRvqgYgT0,Mariano Sigman & Dan Ariely
8nt3edWLgIg,Sam Harris
UAq4yBdSYZs,Niels Diffrient
dScYSVZtB7k,Mileha Soneji
nko6uV5u9vg,Katarina Gospic
T33vGEPLSwg,Liz Wright
dNoSK3HgQJc,Sean Follmer
tgSCwQwYNjc,Sethembile Msezane
PtBKP4fVAvI,Sarah Bergbreiter
IaMnRrrQx48,Matthew O'Reilly
AFRmGkdXkxA,Stefan Larsson
MSZS1wnjfhY,Tammy Turner å”æ•
DnJHaveemUk,Nancy Streim
w1TBZhdSsN0,Daina TaimiÅ†a
2Oe6HUgrRlQ,Alain de Botton
S1VpOweDio8,Oren Yakobovich
tpH2fhwCzSM,Eddy Cartaya
9aC7bUTBKv0,Lesley Hazleton
qesLGw23SzQ,Dr. Christian Welzel
iRSjlgWE9GQ,Avi Kluger
pFDoCLf96Kg,Rebecca MacKinnon
dghBrSBC34Y,Delphine Hochstrasser
DEmjzXi2lfI,Spyros Armostis
QoRZNSVpt3Q,Dr. Tawnya Pettiford-Wates
qtOIh93Hvuw,Muneeb Ali
ZnCSUBmeRxw,Hector Garcia
VsjTVGIw4z8,Joi Ito
WSsjBMSWSYE,Tal Golesworthy
pPgd7Hj3ABQ,Neha Narula
JhcCHjqSiBo,Gustavo Ollitta
M1o3FS0awtk,Nic Marks
f68AdM1m4hk,Martijn Joris
6iFCm5ZokBI,Andrew Tarvin
BltRufe5kkI,Peter Diamandis
E6dNJJMWeiE,Shayda Kafai
xbWcLYOniWU,Ellen Goodman
BCvzpm4d2gs,Jesper Koll
SvSSb7cJn2A,Tom Wujec
GB6fO0Tylvs,Dan Pacholke
L2upTRjXeJM,Megan Kamerick
vygSSFKXms4,Jok Church
8jkri0AeZWQ,Alexa von Tobel
LhszKevcH30,Alexis Charpentier
vfGSCnk8bSw,AndrÃ© Kuyt
J3pGKt7fESM,Matthias MÃ¼llenbeck
2OH1xSaKSmI,Michael Shellenberger
VehHPwAVL9g,Jack Andraka
0ZOqbO2jIKg,Majora Carter
v9dEgXR1iWE,James Rhodes
r6nSmSTKHGc,Nina Tandon
jEHZSIAuYUY,Paul Sutter
mgBsSW5CFnw,Polly Young-Eisendrath
o9DNWK6WfQw,Sebastian Junger
b64qvG2Jgro,Molly Crockett
oTHSfmQo3Ok,George Church
3uFbJG6tBpI,Clive Alderton
afev0ZjAhUA,Stephen Wilkes
Wzy0cX1NXpM,Gay Culverhouse
8vNIrPeRGlM,Laurel Braitman
trxGZMm4nBQ,Rhon Manigault-Bryant
jIftWB0JMio,Andrew Emond
5aH2Ppjpcho,Dan Ariely
uSD6RlqHwOk,Jill Shargaa
kcwBHSUevxo,Nathan Myhrvold
SDjLpMj3BDU,Tom Colicchio
BMcduh1HEHA,Kasper Bormans
2jTdZSPBRRE,Deborah Frieze
oSv7E8WK2Iw,Carmen McSpadden
BSiNIZ6zZqY,Carina Ripley
NuJg8auo7FE,Vayu Maini Rekdal
uqS6T6TAu74,Abigail Marsh
QoTSdOkjEVs,Ron McCallum
sFIDCtRXSSo,Giorgia Lupi
9FCsyK4aRXQ,Damien Mander
fXf3CCyhLGU,Kathleen Gallagher
VC0taBVUF2o,Kim Gorgens
BN9a8Ldy7Xc,Martine Oh
zuAj2F54bdo,Paddy Ashdown
HEFSHP2XE7E,Bonnie Feldman
q06YIWCR2Js,Dr. Alan Watkins
XnhhoRSnisc,Berk Birand
gZpcTVqpaPw,Catherine Pawley
9KaMufF0rAY,Penny Lewis
150cqgYh8sQ,Jenny Phillips
0ZhL7P7w3as,Naomi Klein
ozPqVGxKGMU,Christina Mackay
SFnMTHhKdkw,Rita Pierson
SVOBeHsQlVk,Siddharth Chakravarty
Qm172DbaSbc,Lisa Bodell
SypPoKpQi6w,Uga Dumpis
N9HF8mMe2pU,Raj Panjabi
2S0aEezKvBE,Francis Collins
2l0sZrrWlrU,Laurie Essig
7DLzXAjscXk,Dr. Sara Goering
f8nkcRMZKV4,Rosemarie Allen
KxDwieKpawg,Andrew Stanton
dm4fvbrMLPw,Jorge Soto
oeL72c6scAs,Thomas Rippel
Acsv55lctGY,Cory Pesaturo
GW02Vo641dU,Melissa Hunfalvay
rQNisRKhSiU,Joe Strout
ZIVSJYazE9s,Robert Swan
mRgSUwk1hnE,Dr. William Loging
QnJIjEAE41w,Emma Slade
xY7kVVS2HVY,Fiona Wood
X0VDy8s8FN4,John Danner
KOIsqRgJ3XM,Avi Reichental
J5jwEyDaRS0,Takaharu Tezuka
gtpTd3ywwiE,Martin Villeneuve
SJyE40koQyA,Jessica Shortall
c73Q8oQmwzo,Manoush Zomorodi
WWloIAQpMcQ,Olivia Remes
E0M1beV91js,Jennifer Brown
cmFSHbPSjd0,Umi Garrett
aI8KiPiVLyY,Robyn Stein DeLuca
AQa3kUJPEko,Rachel Botsman
HqawqHB7nDM,Carmel McConnell
X6Zo53M0lcY,Chris Anderson
iNtNP6LGek8,Dr. Mark Benfield
ae38tl7uR28,James A. WhiteJr.
5Yj3nGv0kn8,Nancy Kanwisher
GFivy8eFFBo,Mathieu Lehanneur
awtmTJW9ic8,Ruairi Robertson
6zVS8HIPUng,Sarah-Jayne Blakemore
hz2ONnzRANs,Chetan Bhatt
rRepnhXq33s,Julian Treasure
1o9NEtA2IEQ,Liz Hajek
4v4XxlfVk3o,Aaron Koblin
pmKNXZmfIMU,Jason Liem
nwZkoAeOzuo,Ella Maria Ray
GYzLcpN8dso,Jessie MacAlpine
ta9jdCcqWiA,Veerle Provoost
JHk9YVjhk7c,Anil Gupta
vhfcedpoCLo,Jessica Artiles
btItLAjT5zg,Richard J. Berry
5QTjSH1KGlY,Bob Stein
1gTNgijhKzw,Louise Wasilewski
ONM4JupBzSE,Robert Neuwirth
vMwPTI54rqQ,Angela Jackson
nCwwVjPNloY,Adam Driver
nDIdnlJHJCQ,Natalie MacNeil
D55ctBYF3AY,Tristan Harris
5iqZzi9mj4M,Mira Awad
W8OiVZrAj4c,Craig Childs
2Ikka0W3Wk8,Travis Horton
ulYR5bpu68E,Emily Parsons-Lord
lrYx7HaUlMY,Paula Stone Williams
OEydHbngSz0,Tapiwa Chiwewe
jAGgKE82034,Vera Regan
q2k2Xbfuy1I,Carla Bailo
xfjZStWFxpA,Andrew Billings
694XUHVuGQo,Maurizio Seracini
sj3PnSpogXw,Vijay Kumar
7PwvGfs6Pok,Dr. Danielle Sheypuk
yG7v4ySxwzQ,Martin Hagger
hsSYuHv0vUk,Raphael Arar
MOQcSzkKfbs,Dawn Goldworm
j51HsRILGKI,Marshall Monroe
KChjQvXjk1g,Susan Haig
USmTQeKRaP4,David Engwicht
7ZoOyNTyjQE,Agnieszka Kiela-PaÅ‚ys
pGyOwnqpCKk,Gary Hirshberg
G6dfUFgKmN4,Tiffany Williams
py1RrSdVt5A,Ben Cameron
ScFWnnQF7A8,Chris Wright
VoCOzuWOgSY,Ramon Tancinco
sa1iS1MqUy4,Shane Koyczan
v19OlWvdUSg,Sanjay Dastoor
56XQd6fcWu8,Sauti Sol
hFGLqkDnSVI,U. Roberto Romano
bib1uDXMmWs,Bria Davis
fkPISY2Vg5k,Nate Silver
UiosQf4GqnQ,Justin Willman
XAcARiiK5uY,Ivan Coyote
0ITHlySbhJE,Drew Dudley
mgcjr1yz7ow,Marco AlverÃ 
sSW6bWecDjg,Joy Lujan
UmvOgW6iV2s,John McWhorter
Hui5YHSD6Go,Daniel Pauly
yr6khSQOk0s,Erin Schuman
SjsGSNgmleA,Jane McGonigal
3BgPFIKCaOQ,Shubhendu Sharma
PwBgcjDVxxE,Emmy Betz
Q80MfH7xPPE,Julian Baggini
3NQZOXtc9uo,Cynthia Amoah
OXQwtTOnLvg,David Puts
VHZKiSGNxWw,Iryna Krechkovsky
lzSkIDxbzGA,Ben Wellington
3EvQGpQtX8o,John La Grou
HXMrzZkHKGs,Joe Sielski
Sid0oc0w3mQ,Guro Sollien Eriksrud
oW91ATcgXVc,Andrew Johnston
RGRlkq4Xl1s,Kim Dempster
eUznJ3LtvGc,Geoff Notkin
z4eSa6GXEsE,Ralph Simon
XVXmYD0UPRQ,Knut Haanaes
o0I0Poe3qlg,Alejandro Aravena
uS7VAFBGWqc,Mellisa Holtzman
pY6ulSP70HY,Ron McCallum
oPpE0AGqFuk,Daniel Goodwin
AWPrOvzzqZk,Susan Etlinger
mA1vshSuyQU,Karrie Fransman
PkcBE74OYJw,Matt Harvey
CKEGaSJi3bk,Cecelia McDonald
pSCefSAYqaA,Carmen Agra Deedy
SSZG5aPkZyM,Susan Robinson
LH8MPbFoRjw,Timothy Bartik
ZZodGSsPrRE,The Lady Lifers
SudRdL19d5w,Oscar Garcia
hvJ4KlVlqV8,Jurgen Appelo
K0PJbPlZoNI,Shai Reshef
A9kQBAH1nK4,Howard Martin
nIo31mMB4P8,Joseph R Campbell
9h2dFSIsH0I,Clay Shirky
bCjfy8Z7dv8,Waleed Abdalati
OwfyH5S6bpA,Tracy Ross
a0x0r7aPI2M,Shannon Zirbel
RsxlLsHtoBI,Valdis Zatlers
rcdwNSDSTl4,Laura Asiala
MvMUMShuMaI,Crystal Ruff
0QVXdEOiCw8,Jack Horner
JXXvIMKPHYg,Daniel Tyler Pohnke
2URf46UY7SA,Bruce Duncan & Bina48
6O9BKRJDqNA,Anthony Schullo
73cTNHEQhkQ,Jim Collins
0N6cjPWqpSk,Samantha Lobato
Zo62S0ulqhA,Chris Hadfield
B0cphH1jkQI,Kirk Citron
UAinLaT42xY,Tim Brown
PaxNc5Sqn6s,Casey Brown
Y2y7BzjbSNo,Laura Arnold
rThUrXYaneo,Ronald Sullivan
A3Vpjwye9Mw,Chris Volpe
XsvgWEdydDI,Emma Holten
GpKrM8GQwOg,Nolen Gertz
SZWS8SNCKMw,Christopher Soghoian
rWhLSORCwW0,Omar Ahmad
iF1T7rRLSuM,Shira Dickler
q319HSSLs9Q,Thomas Helleday
AYzA2uyd9Ss,Dan Bell
o0VrZPBskpg,Melanie Joy
dqQcxbnZxVc,Clara Rose
YvyeISAxb70,Janet Iwasa
oDtZi2SUm8Q,Patrick Cines
zcwySEjaQlc,Sam Mahlstadt
6Af5tJzSR2w,Judd Hultquist
cn9Q4c3dXGU,Geraldine Hamilton
DjcZrtcBZi4,Linda Hill
8B271L3NtAw,Ionica Smeets
3qyVvDGDGQs,Wendy Wallbridge
BPeFy4iyzn0,Carolyn Bertozzi
qpfq3xCdAu4,Mennat El Ghalid
bVJSSyLT3xo,Vanessa Kettering
SB1JmOerYmY,Sitawa Wafula
HA7GwKXfJB0,Sebastian Seung
Mtjatz9rSVc,Guy Kawasaki
3VwxWDVKs8k,Josh Slotnick
xukDIWFMU9Y,Mina Bissell
4a6ZRstYlgw,Zineb El Rhazoui
ORBf73HiJns,Joshua Mantz
SVB39Jo8mAQ,Adam Carroll
0i7Loopex8w,Theo Wilson (AKA Lucifury)
rFpDK2KhAgw,Kio Stark
HNOnvp5t7Do,Julian Assange
ESfBSsSTC5k,Jeanne Gang
43e6eAAeGCs,Rick Falkvinge
UlDWRZ7IYqw,John Bohannon
SS3qnZrVy9o,Tiffany Watt Smith
X77DUi9PD4Y,Ghina Joujou
JM77aTk1XyI,James Nestor
sjPRN2XGSts,Carol Fishman Cohen
RDIy58g9n2k,Abigail Washburn
FcmSmAwPkxg,Elizabeth Lesser
uxnjyfSeRpI,Katia Arami
7CDwBdvTKUo,Raquel Choa
aeVtSWlH1qY,Bobby Ghosh
P8GCjrDWWUM,Melati & Isabel Wijsen
UdsUVjeJuPE,Tigran Sloyan
WAuDCOl9qrk,John Maeda
9F8SjpS6Uqg,Frans Lanting
6e99DuPQ6j8,Hanoch Piven
68c2M4r9oQg,Kate Wagner
Un2yBgIAxYs,Suzanne Simard
D03n5dAmBSE,Adam Ostrow
HirySSCYiwI,Woody Roseland
WfjzkO6SDEI,Ashton Applewhite
3LzX36sShcs,Mallika Sarabhai
4Q2aznfmcYU,Dambisa Moyo
1krVk4CMy98,Isabella Kirkland
v3FDwQVb0Nw,Courtney Creenan
kU0ei9ApmsY,Svante PÃ¤Ã¤bo
rBt7LMrIkxg,Chris Berka
Eewvsw027jg,Joel Comm
0MD4Ymjyc2I,Yves Morieux
CFADnhYKDHg,Jared Stein
xx310zM3tLs,Jeremy Howard
ZOYoTup1t3A,Toluwanimi Obiwole
6SdtkXAQq3k,Christopher Poulos
nAMrtHC2Ev0,Rachel Armstrong
nO69NjadSec,Jimmy Lin
6wNif5SlN08,Luma Mufleh
cfR6tiSWSAM,Dennis Hong
FzmXULKUNJU,Chrismaldi Vasquez
P86fZa4xKSw,Michiel Langezaal
ftWn4QOvTTo,Tove Larsen
BLmBuz40BD8,Sheron Wray
oAl82gFMZis,Jorge Rodrigues
k9QTVIISlkg,Nikita Bier
Hg9STIrY0No,Jon Boogz & Lil Buck
YmlAl1SMtHk,Tim Shand
Gz8RlHf3Czs,Nicole Paris & Ed Cage
hxsnKwmW0dk,Dan Pallotta
BwHAYgOnZSU,Ryan Pfluger
lQflBowgVB4,Elizabeth Lev
O6Vayv9FCLM,Paul Hessburg
iSicXZ2tMRM,Rob Knight
hPI0TM75lXA,John Gray
1HIxnTruN78,Shahrzad Rafati
P3fIZuW9PSM,Tracy McMillan
G8cjIBwP52o,Hussein El-Ajouz
rtsHUeKnkC8,Sarri Gilman
c8WMMSPUOj0,Lisa Dyson
zAFcV7zuUDA,Terry Moore
QEhT4caTVnY,Mark Power
cXQrbxD9SNg,Andrew McAfee
SJ5bDhMP9lQ,Samina Ali
IwidCkCmWg4,Jane Chen
BQZKs75RMqM,Manuel Lima
